degree,mathsAdvantage
Hum,-23
Hum,-27
Hum,-29
Hum,-25
Hum,-20
Hum,-20
Hum,-20
Hum,-15
Hum,-15
Hum,-13
Hum,-13
Hum,-10
Hum,-10
Hum,-10
Hum,-10
Hum,-10
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-5
Hum,-4
Hum,-1
Hum,0
Hum,0
Hum,0
Hum,0
Hum,0
Hum,0
Hum,0
Hum,0
Hum,0
Hum,0
Hum,3
Hum,5
Hum,5
Hum,5
Hum,5
Hum,5
Hum,5
Hum,5
Hum,5
Hum,5
Hum,5
Hum,7
Hum,8
Hum,10
Hum,10
Hum,12
Hum,10
Hum,15
Hum,10
Hum,17
Hum,10
Hum,10
Hum,11
Hum,18
Hum,15
Hum,15
Hum,15
Hum,20
Hum,25
Hum,20
Hum,25
Hum,28
Hum,25
Hum,30
Hum,30
Hum,35
Hum,33
Hum,35
Hum,35
Hum,35
Hum,38
Hum,39
Hum,40
Hum,45
Hum,55
Hum,60
Med,-25
Med,-22
Med,-20
Med,-5
Med,-5
Med,0
Med,0
Med,1
Med,5
Med,10
Med,10
Med,15
Med,15
Med,15
Med,25
Med,30
Other,-20
Other,-15
Other,-10
Other,-10
Other,-5
Other,-5
Other,-1
Other,0
Other,0
Other,0
Other,0
Other,0
Other,3
Other,5
Other,5
Other,5
Other,10
Other,10
Other,12
Other,17
Other,20
Other,20
Other,25
Other,25
Other,30
Other,35
Other,30
Other,30
Other,40
Other,50
Other,55
Sci,-55
Sci,-45
Sci,-35
Sci,-25
Sci,-25
Sci,-23
Sci,-20
Sci,-15
Sci,-15
Sci,-15
Sci,-15
Sci,-15
Sci,-14
Sci,-12
Sci,-12
Sci,-11
Sci,-10
Sci,-10
Sci,-10
Sci,-10
Sci,-10
Sci,-10
Sci,-5
Sci,-5
Sci,-5
Sci,-5
Sci,-5
Sci,-5
Sci,-5
Sci,-2
Sci,-1
Sci,-1
Sci,-1
Sci,0
Sci,0
Sci,0
Sci,0
Sci,0
Sci,0
Sci,0
Sci,0
Sci,5
Sci,5
Sci,5
Sci,5
Sci,5
Sci,5
Sci,9
Sci,10
Sci,10
Sci,10
Sci,10
Sci,10
Sci,10
Sci,10
Sci,10
Sci,13
Sci,15
Sci,15
Sci,15
Sci,15
Sci,15
Sci,20
Sci,23
Sci,25
Sci,29
Sci,30
Sci,30
Sci,35
